L/R|0|4|8|12|16|20|24|28|32|36|40|44|48|52|56|60
lCoef|0.0|-0.382683432|-0.707106781|-0.923879533|-1|0.923879533|0.707106781|0.382683432|1.23E-16|0.382683432|0.707106781|0.923879533|1|-0.923879533|-0.707106781|-0.382683432
rCoef|0.0|-0.38|-0.71|0|1|0|0.71|0.38|0|0.38|0.71|0|-1|0|-0.71|-0.38
